Person,Chapters,Subject,birth_year,death_year,birth_place,nationality,primary_field,bio_one_sentence,nobel_prize_year,nobel_prize_category
Sadi Carnot,28,Heat engines / Efficiency | Formulated heat engine efficiency limits,1796,1832,"Paris, France",French,Physics / Thermodynamics,French physicist who analyzed the theoretical limits of heat engines in \emph{Reflections on the Motive Power of Fire}.,,
Samuel Ruben,35,Used O-18 to show photosynthetic O2 comes from water | Oxygen isotope experiments | Used isotopes to trace photosynthesis oxygen,1913,1943,"San Francisco, California, USA",American,Physical Chemistry / Radiochemistry,"American chemist who co-discovered the radioactive isotope Carbon-14, which became fundamental to radiocarbon dating and metabolic tracing.",,
Sara Lewis,25,Studied firefly courtship and sexual selection | Sexual selection in fireflies,unknown,living,unknown,American,Evolutionary Ecology / Entomology,American biologist who researches firefly sexual selection and authored \emph{Silent Sparks: The Wondrous World of Fireflies}.,,
Saul Perlmutter,02,Led Supernova Cosmology Project discovering cosmic acceleration | Supernova cosmology linking dark energy and matter | Discovery of cosmic acceleration,1959,living,"Champaign-Urbana, Illinois, USA",American,Astrophysics / Cosmology,American astrophysicist who shared the 2011 Nobel Prize for discovering that the expansion of the universe is accelerating.,2011,Physics
Scott Randall,37,Coauthored Bullet Cluster analysis,unknown,living,unknown,American,Astrophysics,American astrophysicist who analyzed the Bullet Cluster to place robust constraints on the self-interaction cross-section of dark matter.,,
Sean Carroll,06|02,Author of GR textbook used for weak-field calculations | Wrote reviews on cosmological constant and dark energy,1966,living,"Philadelphia, Pennsylvania, USA",American,Theoretical Physics and Philosophy,American theoretical physicist and philosopher who specializes in quantum foundations and communicates science through the \emph{Mindscape} podcast.,,
Semirhage,48,Quote (Fictional character from Wheel of Time),Fictional,Fictional,Age of Legends (Fictional),Fictional,FICTIONAL CHARACTER,"One of the Forsaken from Robert Jordan's \emph{The Wheel of Time}, a former renowned healer who turned to the Shadow and became infamous for sadistic torture using the One Power.",,
Sergey V. Sukhomlinov,42,Molecular dynamics simulations of ice amorphization during sliding,unknown,living,unknown,unknown,Computational Materials Science,"Computational physicist at the Department of Materials Science and Engineering, Saarland University, who researches mechanochemistry and co-authored molecular dynamics simulations of displacement-driven amorphization in ice sliding.",,
Seth Neddermeyer,19,Co-discovered the muon with Anderson | Discovery of muon,1907,1988,"Richmond, Michigan, USA",American,Physics,American physicist who co-discovered the muon and championed the implosion assembly method for plutonium nuclear weapons.,,
Shammai,26,Contemporary of Hillel | head of stricter school | Zugot,c. 50 BCE,c. 30 CE,Judea,Judean,Jewish Law (Halakha),Jewish sage who co-led the \emph{Zugot} and founded the rigorous House of Shammai in opposition to Hillel.,,
Shankar Balasubramanian,,Coinvented Solexa/Illumina SBS chemistry,1966,living,"Madras (Chennai), India",British,Medicinal Chemistry / Chemical Biology,"British chemist who co-invented Solexa sequencing, the primary technology used for rapid, low-cost DNA sequencing worldwide.",,
Shemaya,26,One of the Zugot | teacher of Hillel,Unknown,c. late 1st century BCE,Unknown,Judean,Religious Law / Rabbinic Leadership,Jewish sage and \emph{Nasi} of the Sanhedrin who constituted the fourth of the \emph{Zugot} alongside Abtalion.,,
Shimon ben Shetach,26,Reformer of Jewish law and education | one of the Zugot,unknown,unknown,Judea,Judean,Religious Law and Political Leadership,Judean Pharisaic leader who restored Pharisaic authority and instituted the \emph{Ketubah} to secure property rights for women.,,
Shimon the Righteous,26,Leader bridging Men of the Great Assembly and early sages | Tradition chain,unknown,unknown,Judea,Judean,Religious Leadership / High Priesthood,"Jewish High Priest of the Second Temple period who taught that the world rests on three pillars: Torah, Divine service, and loving-kindness.",,
Shoucheng Zhang,11,Predicted Bi2Se3-family 3D topological insulators | Predicted Bi2Se3 family properties,1963,2018,"Shanghai, China",American,Theoretical Physics (Condensed Matter),American theoretical physicist who discovered the quantum spin Hall effect and predicted the first three-dimensional topological insulators.,,
Shoukhrat Mitalipov,,Senior author on primate spindle transfer studies,1961,living,"Almaty, Kazakhstan",American,Reproductive Biology,Kazakh-American biologist who successfully created human embryonic stem cells via somatic cell nuclear transfer in 2013.,,
Sidney Coleman,16,Developed theory of false vacuum decay | False vacuum decay rate,1937,2007,"Chicago, Illinois, USA",American,Theoretical Physics,"American theoretical physicist who formulated the Coleman-Mandula theorem and the Coleman-Weinberg mechanism, and derived the dynamics of false vacuum decay.",,
Sidney Loeb,31,Reverse osmosis membranes | Developed reverse osmosis membranes,1916,2008,"Kansas City, Missouri, USA",American / Israeli,Chemical Engineering,"American chemical engineer who co-invented the Loeb-Sourirajan membrane, rendering reverse osmosis a commercially viable desalination technology.",,
Simon Donaldson,24,4-manifold invariants | Revolutionized 4-manifold topology,1957,living,"Cambridge, United Kingdom",British,Mathematics (Geometry and Topology),British mathematician who utilized Yang-Mills instantons to prove results regarding the intersection forms of smooth 4-manifolds.,,
Simon Newcomb,,Precursor to Benford's Law (implied context),1835,1909,"Wallace, Nova Scotia",American (born Canadian),Astronomy and Mathematics,American astronomer who recalculated the motions of the solar system's major planets and established international standards for astronomical constants.,,
Siméon Denis Poisson,13,Académie mathematician defending Newtonian optics | Prediction of the spot (reductio ad absurdum),1781,1840,"Pithiviers, France",French,Mathematics and Physics,French mathematician and physicist who formulated the Poisson distribution and established key concepts in elasticity and potential theory.,,
Sir John French,38,Commander of British Expeditionary Force,1852,1925,"Ripple, Kent, United Kingdom",British,Military Leadership,British Field Marshal who commanded the British Expeditionary Force on the Western Front during the first eighteen months of World War I.,,
Sir William Jones,05,Noted relationship among Sanskrit | Observations on Sanskrit/Greek/Latin similarities,1746,1794,"London, England",British,Philology and Law,"British philologist who laid the foundations of comparative linguistics by proposing a common source for Sanskrit, Greek, and Latin.",,
Solid Jackson,28,Quote (Fictional character),unknown,unknown,unknown,American (Fictional/Slang origin),Slang Idiom,"Jazz slang term for ``affirmation'', personified as a minor character (a fisherman) in Terry Pratchett's \emph{Jingo}; the name puns on 1940s jazz expressions.",,
Solomon Feferman,17,Feferman-Schütte ordinal,1928,2016,"New York City, USA",American,Mathematical Logic and Philosophy of Mathematics,"American mathematician and philosopher who defined the Feferman-Sch\""utte ordinal to measure the proof-theoretic strength of predicative analysis.",,
Sophie Germain,13,Grand Prix winner,1776,1831,"Paris, France",French,Mathematics and Physics,French mathematician and physicist who won the \emph{Prix extraordinaire} for elasticity theory and formulated a partial proof for Fermat's Last Theorem.,,
Sophus Lie,21,Founded Lie group theory linking exponentials and symmetries | Lie groups | Founded theory of continuous symmetry groups,1842,1899,"Nordfjordeid, Norway",Norwegian,Mathematics,"Norwegian mathematician who created the theory of continuous transformation groups, known as Lie groups and Lie algebras.",,
Srinivasa Sourirajan,31,Reverse osmosis membranes,1923,2022,India,Canadian,Chemical Engineering,"Indian chemical engineer who co-invented the asymmetric cellulose acetate membrane with Sidney Loeb, making reverse osmosis practical.",,
Stanislas Dehaene,,Developed neuronal global workspace modeling,1965,living,"Roubaix, France",French,Cognitive Neuroscience,"French cognitive neuroscientist who characterized the neural basis of reading and numerical cognition, and developed the Global Neuronal Workspace theory.",,
Stanley Weintraub,38,Wrote narrative history of Christmas Truce,1929,2019,"Philadelphia, Pennsylvania, USA",American,History and Biography,"American historian and biographer who authored approximately 50 books, including \emph{Silent Night}, on military narratives and the Victorian era.",,
Stefan Banach,03,Banach–Tarski paradox | functional analysis | Formulated the Banach-Tarski paradox,1892,1945,"Kraków, Austria-Hungary (now Poland)",Polish,Mathematics (Functional Analysis),Polish mathematician who founded modern functional analysis and systematized the theory of vector spaces known as Banach spaces.,,
Stefan Hilbert,28,Coauthored critique of negative absolute temperatures | Negative temperature controversy | Coauthor on negative temperature consistency,unknown,living,unknown,German,Theoretical Physics / Astrophysics,German physicist who challenged standard entropy definitions by arguing negative absolute temperatures are inconsistent with thermodynamic principles.,,
Stephen Fulling,47,Clarified observer-dependent particle concepts | Non-uniqueness of vacuum | Discovered non-uniqueness of vacuum state,1945,living,"Evansville, Indiana, USA",American,Mathematical Physics,"American mathematical physicist who demonstrated that accelerating observers perceive a thermal bath of particles, known as the Fulling-Davies-Unruh effect.",,
Stephen Hawking,47 | 23,Discovered Hawking radiation from black holes | Singularity theorems | Developed black hole thermodynamics and radiation,1942,2018,"Oxford, England",British,Theoretical Physics,"British theoretical physicist who predicted that black holes emit thermal radiation, now known as Hawking radiation.",,
Stephen Quake,40,Contributed to microfluidic sequencing technologies,1969,living,"New York, New York, USA",American,Bioengineering and Biophysics,American bioengineer who pioneered microfluidic large-scale integration and invented non-invasive prenatal testing using cell-free fetal DNA.,,
Stephen Turner,,Founded PacBio | single-molecule real-time sequencing,unknown,living,unknown,American,Biophysics and Genomics,American biophysicist and entrepreneur who invented zero-mode waveguides and founded Pacific Biosciences to pioneer single-molecule real-time sequencing.,,
Steven Weinberg,36|02,Analyzed cosmological constant problem | Analyzed non-renormalizability of gravity | Quantum gravity problems,1933,2021,"New York City, USA",American,Theoretical Physics,"American theoretical physicist who formulated the electroweak theory unifying the weak force and electromagnetism, earning the Nobel Prize in Physics.",1979,Physics
Subrahmanyan Chandrasekhar,02,Contributed to early-universe and stellar physics | Chandrasekhar limit,1910,1995,"Lahore, British India (now Pakistan)",Indian-American,Astrophysics,"Indian-American astrophysicist who calculated the Chandrasekhar limit, establishing the maximum mass of stable white dwarf stars.",1983,Physics
Susanne von Caemmerer,35,Coauthor of C3 photosynthesis model,1953,living,"Freiburg im Breisgau, Germany",Australian,Plant Physiology / Mathematical Biology,Australian plant physiologist and mathematician who co-developed the FvCB model establishing the framework for C3 photosynthesis in 1980.,,
Tamar Ziegler,08,Polynomial progressions,1971,living,Israel,Israeli,"Mathematics (Ergodic Theory, Combinatorics)",Israeli mathematician specializing in ergodic theory who focuses on polynomial progressions in prime numbers and the Gowers norms.,,
Tanupat Trakulthongchai,09,Independently proved Lonely Runner Conjecture for nine and ten runners,unknown,living,unknown,unknown,Mathematics (Combinatorics),"Mathematician who independently proved the Lonely Runner Conjecture for nine and ten runners in 2025, using a sieving method that refined Rosenfeld's computer-assisted backtracking approach.",,
Taylor L. Hughes,11,Coauthor on HgTe quantum well topological insulator theory,unknown,living,unknown,American,Theoretical Condensed Matter Physics,American theoretical physicist who co-developed the Bernevig-Hughes-Zhang model predicting the quantum spin Hall effect in mercury telluride.,,
Terence Ranger,38,Coeditor on invention of tradition concept,1929,2015,"South Norwood, London, United Kingdom",British,African History,British historian of Zimbabwe who emphasized African agency and co-edited \emph{The Invention of Tradition} with Eric Hobsbawm.,,
Terence Tao,08,Primes in arithmetic progressions / Polymath8,1975,living,"Adelaide, Australia",Australian-American,Mathematics,Australian-American mathematician who received the 2006 Fields Medal and proved that prime numbers contain arbitrarily long arithmetic progressions.,,
Terry Pratchett,23,Quote on time,1948,2015,"Beaconsfield, England",British,Literature (Fantasy/Satire),"English author who wrote the \emph{Discworld} series, comprising 41 satirical fantasy novels that parodied cultural and political themes.",,
Thanu Padmanabhan,02,Developed thermodynamic perspective on cosmological constant,1957,2021,"Thiruvananthapuram, India",Indian,Theoretical Physics,"Indian theoretical physicist who formulated the thermodynamic perspective of gravity, proposing that gravity is an emergent phenomenon rather than a fundamental force.",,
The Dogman,43,Quote (Fictional character from First Law),Fictional,Fictional,The North (Fictional setting),Northman (Fictional),FICTIONAL CHARACTER (Literary Character),"Loyal scout and Named Man from Joe Abercrombie's \emph{The First Law} trilogy known for his keen sense of smell, pragmatism, and comparative moral center among Northern warriors.",,
The Gang,50,Quote (Fictional characters from It's Always Sunny),2005 (Show Debut),living,"Philadelphia, Pennsylvania, USA (Fictional Setting)",American,Fictional Characters,Dysfunctional group of bar owners from \emph{It's Always Sunny in Philadelphia} whose self-serving schemes and moral failures define the dark comedy sitcom.,,
The Lorax,35,Quote,unknown,unknown,Fictional,Fictional Character,Children's Literature / Environmental Symbolism,"Environmental guardian from Dr. Seuss's \emph{The Lorax} who ``speaks for the trees'' and warns against industrial greed destroying nature, becoming an icon of conservation.",,
The Preacher (Ecclesiastes),34,Quote (Vanity of vanities),unknown,unknown,Jerusalem (textual claim),Ancient Israelite,Wisdom Literature,"Philosophical voice of the biblical book \emph{Ecclesiastes} who meditates on life's futility with ``vanity of vanities, all is vanity'', exploring meaning and mortality.",,
The Weakerthans,44,Quote (Band),1997,2015,"Winnipeg, Canada",Canadian,Music (Indie Rock Band),Canadian indie rock band led by John K. Samson who produced literary punk-folk albums like \emph{Reconstruction Site}.,,
Thomas Gold,43,Co-developed steady-state cosmological model | Steady State theory | Proponent of Steady State theory,1920,2004,"Vienna, Austria",Austrian-British-American,Astrophysics,Austrian-American astrophysicist who co-proposed the Steady State theory and correctly identified pulsars as rotating neutron stars.,,
Thomas Graham,31,Coined the term osmosis | Osmosis research | Studied diffusion and dialysis,1805,1869,"Glasgow, Scotland",Scottish,Physical Chemistry,Scottish chemist who founded colloid chemistry and formulated Graham's Law regarding the diffusion and effusion rates of gases.,,
Thomas Hales,29,Proof of Kepler conjecture | Proved Kepler conjecture on sphere packing,1958,living,"San Antonio, Texas, USA",American,Mathematics,American mathematician who established the computer-assisted proof of the Kepler conjecture and led the Flyspeck verification project.,,
Thomas Reid,50,Advanced common-sense foundationalism about self and world,1710,1796,"Strachan, Kincardineshire, Scotland",Scottish,Philosophy,Scottish philosopher who founded the School of Common Sense and defended direct realism against the skepticism of David Hume.,,
Thomas Royen,33,Proved Gaussian Correlation Inequality | Proved Gaussian correlation inequality,1947,living,"Lohr am Main, Germany",German,Statistics / Mathematics,"German statistician who proved the Gaussian Correlation Inequality in 2014, resolving a conjecture open since the 1950s.",,
Thomas Young,13,Double slit experiment,1773,1829,"Milverton, England",British,Physics and Physiology,English polymath who demonstrated the wave nature of light and made key contributions to deciphering the Rosetta Stone.,,
Tiffany Aching,46,Quote (Fictional character from Discworld),Fictional,Fictional,The Chalk (Fictional setting),Fictional Character,FICTIONAL CHARACTER (Literary Protagonist),"Young witch from Terry Pratchett's \emph{Discworld} series who protects the Chalk using practical wisdom and allies with the Nac Mac Feegle, embodying ``First Sight'' and ``Second Thoughts.''",,
Timothy R. Fallon,25,Applied molecular tools to bioluminescence and lanterns | Molecular basis of bioluminescence | Genomic analysis of firefly evolution,unknown,living,unknown,American,Evolutionary Biochemistry and Genomics,American evolutionary biochemist who elucidated the genomic pathways of bioluminescence by sequencing the North American firefly \emph{Photinus pyralis}.,,
Tobias Fünke,12,Quote (Fictional character from Arrested Development),Fictional,Fictional,N/A (Fictional Character),American (Fictional),FICTIONAL CHARACTER (Fictional Character),"Failed actor and ``never-nude'' former psychiatrist from \emph{Arrested Development}, known for unintentional double entendres and membership in the dysfunctional Bluth family.",,
Tom Bohman,09,Lonely Runner Conjecture,unknown,living,unknown,American,Mathematics (Combinatorics),American mathematician who utilized the triangle-free process to determine asymptotic bounds for off-diagonal Ramsey numbers.,,
Tom Cargill,22,Quote on software development (90-90 rule),unknown,living,unknown,unknown,Computer Science / Software Engineering,American computer scientist at AT\&T Bell Laboratories who formulated the ``Ninety-Ninety Rule'' and developed the ``pi'' debugger.,,
Tom Lehrer,16,Song lyrics (We Will All Go Together),1928,living,"New York City, USA",American,Satirist / Mathematician,American mathematician and musical satirist who composed and performed popular comic songs like ``The Elements'' during the 1950s and 1960s.,,
Tomohiro Nishikado,22,Space Invaders speedup bug,1944,living,"Osaka, Japan",Japanese,Video Game Design and Engineering,Japanese game designer and engineer who created the arcade game \emph{Space Invaders} at Taito in 1978.,,
Toru Iwatani,22,Pac-Man ghost AI,1955,living,"Meguro, Tokyo, Japan",Japanese,Video Game Design / Education,"Japanese video game designer who created the arcade game \emph{Pac-Man}, which was released by Namco in 1980.",,
Valery Zukin,49,Implemented pronuclear transfer at Nadiya Clinic,unknown,living,unknown,Ukrainian,Reproductive Medicine,Ukrainian physician who led the team reporting the first birth using pronuclear transfer to treat infertility in 2017.,,
Vera Rubin,37,Measured flat galaxy rotation curves | Galaxy rotation curves | Confirmed flat rotation curves of galaxies,1928,2016,"Philadelphia, Pennsylvania, USA",American,Astronomy / Astrophysics,"American astronomer who analyzed galaxy rotation curves, providing the first robust observational evidence for the existence of dark matter.",,
Vesto Slipher,27,Measured planetary and galactic spectra | Planetary spectroscopy | Measured redshifts of spiral nebulae,1875,1969,"Mulberry, Indiana, USA",American,Astronomy / Spectroscopy,"American astronomer who measured the radial velocities of spiral nebulae, providing the first evidence for the expanding universe.",,
Viggo Brun,08,Developed Brun’s sieve and twin-prime results | Sieve methods / Twin primes,1885,1978,"Lier, Norway",Norwegian,Mathematics (Number Theory),Norwegian mathematician who introduced ``Brun's sieve'' and proved the convergence of the sum of twin prime reciprocals.,,
Vladimir Arnold,48,KAM theorem | KAM theorem founder,1937,2010,"Odessa, USSR (now Ukraine)",Russian (Soviet),Mathematics,Soviet and Russian mathematician who solved Hilbert's thirteenth problem at nineteen and co-developed the Kolmogorov-Arnold-Moser theorem.,,
Voltaire,44,Early popularizer of Iron Mask legend | Iron Mask myth making | Popularized Iron Mask legend,1694,1778,"Paris, France",French,"Philosophy, Literature, and History",French Enlightenment writer and philosopher who advocated for civil liberties and popularized the legend of the ``Man in the Iron Mask.'',,
Walter Gilbert,40,Coinvented Maxam–Gilbert sequencing | Chemical sequencing | Co-invented chemical sequencing method | Sequencing method co-creator,1932,living,"Boston, Massachusetts, USA",American,Molecular Biology / Biochemistry,American physicist and biochemist who shared the 1980 Nobel Prize for developing the Maxam-Gilbert DNA sequencing method.,1980,Chemistry
Warren Robinett,22,Adventure (Atari) object handler,1951,living,"Springfield, Missouri, USA",American,Game Design / Computer Science,American video game designer who developed the Atari title \emph{Adventure} and created the first widely known ``Easter egg.'',,
Werner Heisenberg,36,Founder of matrix mechanics and uncertainty principle,1901,1976,"Würzburg, Germany",German,Theoretical Physics,German theoretical physicist who formulated the uncertainty principle and received the 1932 Nobel Prize for creating quantum mechanics.,1932,Physics
Werner Lipp,18,Lead author on Meltdown vulnerability,unknown,living,unknown,Austrian,Information Security,Austrian systems security researcher who co-discovered the Meltdown and Spectre vulnerabilities exposing flaws in modern microprocessors.,,
Wilhelm Ackermann,17,Defined fast-growing Ackermann function | Ackermann function,1896,1962,"Schönebeck, Germany",German,Mathematics (Logic),"German mathematician who defined the Ackermann function, the first example of a recursive function that is not primitive recursive.",,
Wilhelm Pfeffer,31,Built first quantitative semipermeable membrane osmometer | Osmotic pressure measurement | Built osmometer | measured osmotic pressure,1845,1920,"Grebenstein, Hesse, Germany",German,Botany and Plant Physiology,"German plant physiologist who constructed the ``Pfeffer cell'', the first semipermeable membrane osmometer, to measure osmotic pressure.",,
Wilhelm Wien,27,Derived Wien’s displacement law,1864,1928,"Gaffken, East Prussia (now Parusnoye, Russia)",German,Physics,German physicist who derived the displacement law and received the 1911 Nobel Prize for laws governing heat radiation.,1911,Physics
W. Deane Butcher,31,Translated Leduc's Mechanism of Life on osmotic growth,1846,1919,England,English,Surgery / Radiography,"English surgeon and radiography pioneer who translated Stéphane Leduc's \emph{The Mechanism of Life}, documenting osmotic growth phenomena.",,
William A. Fowler,10,Stellar nucleosynthesis | B2FH paper,1911,1995,"Pittsburgh, Pennsylvania, USA",American,Nuclear Astrophysics,American nuclear physicist who won the 1983 Nobel Prize for his work on stellar nucleosynthesis.,1983,Physics
William Coblentz,25,Co-measured firefly brightness photometrically | Quantitative brightness of fireflies | Measured spectral emission of fireflies,1873,1962,"North Lima, Ohio, USA",American,Physics (Radiometry and Spectroscopy),American physicist who established the foundations of infrared spectroscopy and quantified the efficiency of \emph{Photinus pyralis} bioluminescence.,,
William G. Unruh,47,Discovered Unruh effect | Unruh effect | Discovered Unruh radiation,1945,living,"Winnipeg, Manitoba, Canada",Canadian,Theoretical Physics,"Canadian physicist who discovered the Unruh effect, demonstrating that accelerating observers perceive a vacuum as thermal particles.",,
William Huggins,27,Early spectroscopist identifying stellar compositions | Nebular spectroscopy | Pioneered stellar spectroscopy,1824,1910,"London, England",British,Astronomy / Astrophysics,English astronomer who established astronomical spectroscopy and was the first to apply the Doppler effect to starlight.,,
William Lawvere,21,Fixed-point theorem | Formulated categorical fixed-point theorem,1937,2023,"Muncie, Indiana, USA",American,Mathematics (Category Theory),"American mathematician who introduced elementary topos theory and ``Lawvere theories,'' redefining the connections between logic and geometry.",,
William Morton,50,Ether anesthesia demonstration | Demonstrated ether anesthesia,1819,1868,"Charlton, Massachusetts, USA",American,Dentistry / Anesthesiology,American dentist who conducted the first successful public demonstration of the use of diethyl ether for surgical anesthesia in 1846.,,
Winston Churchill,09,Quote on democracy,1874,1965,"Woodstock, Oxfordshire, England",British,Politics and Statesmanship,British statesman who served as Prime Minister and led the United Kingdom against Nazi Germany during the Second World War.,1953,Literature
Wit,18,Quote (Fictional character from Stormlight Archive),unknown,living,Yolen (Fictional Setting),Yolish (Fictional),FICTIONAL CHARACTER (Storyteller / Worldhopper),"Ancient immortal worldhopper from Brandon Sanderson's \emph{Stormlight Archive} who serves as King's Wit on Roshar, wielding acerbic humor and cryptic wisdom while pursuing a millennia-spanning agenda.",,
Wolfgang Pauli,36,Contributed to early attempts at quantum gravity,1900,1958,"Vienna, Austria-Hungary",Austrian / Swiss,Theoretical Physics,Austrian theoretical physicist who formulated the Pauli Exclusion Principle stating no two fermions can occupy the same quantum state.,1945,Physics
Yakov Sinai,,Developed rigorous theory of chaotic dynamical systems,1935,living,"Moscow, Russia (USSR)",Russian-American,Mathematics / Mathematical Physics,Russian-American mathematician who introduced Kolmogorov-Sinai entropy and analyzed ``Sinai billiards'' to prove the existence of chaos.,,
Yakov Zel'dovich,,Superradiance | Work on superradiance and vacuum fluctuations,1914,1987,"Minsk, Russian Empire (now Belarus)",Soviet,Theoretical Physics and Cosmology,Soviet theoretical physicist who formulated the Sunyaev-Zel'dovich effect and predicted that rotating black holes amplify incident waves.,,
Yitang Zhang,08,Proved existence of bounded gaps between primes | Bounded gaps between primes (70 million),1955,living,"Shanghai, China",American,Mathematics (Number Theory),Chinese-American mathematician who proved the existence of a finite bound on the gaps between consecutive prime numbers.,,
Yose ben Yochanan,26,One of the Zugot | early leadership pair,unknown,unknown,"Jerusalem, Judea",Judean,Rabbinic Law and Ethics,Jewish sage who served as \emph{Av Beit Din} and formed the first of the \emph{Zugot} with Yose ben Yoezer.,,
Yose ben Yoezer,26,One of the Zugot (pairs) of early sages,unknown,c. 162 BCE,Zeredah (Ancient Judea),Judean,Rabbinic Law / Theology,Jewish sage who served as the first Nasi of the Zugot and participated in the first recorded halachic dispute in the \emph{Mishnah}.,,
Yuliy Baryshnikov,09,Developed topological approaches to social choice,1959,living,USSR (now Russia),Russian-American,"Mathematics (Applied Topology, Probability)",Russian-American mathematician who applies algebraic topology to complex systems in sensor networks and social choice theory.,,
Élie Cartan,21,Developed exponential map in differential geometry | Geometry and topology of groups | Developed differential geometry and Lie theory connection,1869,1951,"Dolomieu, France",French,Mathematics,French mathematician who developed the method of moving frames and established the use of exterior differential forms.,,
Étienne du Junca,44,Bastille journal records | Bastille official who recorded the prisoner,unknown,1706,France,French,Prison Administration / Military,French Bastille major who recorded the arrival and death of the ``Man in the Iron Mask'' in his administrative journals.,,
